date,true_lambda,recovered_lambda
2021-02-23,2.00365763178074,1.963561011964657
2021-03-30,2.0071772807950956,2.178028156961382
2021-05-04,2.013478516673969,2.1703789423442488
2021-06-08,2.024234427022824,2.278215985985682
2021-07-13,2.041739317542661,2.2131417107602136
2021-08-17,2.0689008753817726,2.329833586039507
2021-09-21,2.1090817260433274,2.617205289178636
2021-10-26,2.1657484373939733,2.6987541949313245
2021-11-30,2.241927794288191,2.8297869942099614
2022-01-04,2.3395320502166963,2.8332803241789315
2022-02-08,2.458679069341147,3.0401767077705357
2022-03-15,2.5971735568344725,2.9828565835510954
2022-04-19,2.750307895546649,3.1452848035637784
2022-05-24,2.9110769185592726,3.149264070336791
2022-06-28,3.0712884042826696,3.254168651038961
2022-08-02,3.222567901051637,3.2931094063416815
2022-09-06,3.355707040315343,3.2838772067594424
2022-10-11,3.4625709105940934,3.3872715288524327
2022-11-15,3.5368065298948954,3.279272691960757
2022-12-20,3.574253381996746,2.9832196432759317
2023-01-24,3.573143189296427,2.6851076269565906
2023-02-28,3.5341652739065754,2.862613320212695
2023-04-04,3.4604425659634406,2.9433762420941836
2023-05-09,3.357399735180272,2.8522941791607055
2023-06-13,3.2324544643550635,2.751495631957986
2023-07-18,3.094463513578235,2.8116246187318135
2023-08-22,2.9524232460985567,2.6521699882973215
2023-09-26,2.8143934442670298,2.6681167485028
2023-10-31,2.6881761454952477,2.622055374254768
2023-12-05,2.579541762554678,2.533593374609909
2024-01-09,2.4917898448142832,2.640961234631546
2024-02-14,2.4257879586037103,2.738733394535345
2024-03-20,2.380366282394526,2.5879140908354015
2024-04-29,2.352949011862085,2.2633676260370375
2024-06-06,2.3403028320754715,2.250552015632658
2024-07-15,2.338927757601438,2.252673403374798
2024-08-20,2.345552091805518,2.4352747917187876
2024-09-26,2.357658253308555,2.4512596785380305
2024-11-01,2.373333771387066,2.401583440232597
2024-12-09,2.3911774307406852,2.2797129138449894
2025-01-14,2.4102763024863894,2.221819353764802
2025-02-20,2.430097781617529,2.2338731706986508
2025-03-28,2.450371216251395,2.1177571837219866
2025-05-05,2.470862848197227,2.1630187399047034
2025-06-09,2.4914180418293856,2.278566886896594
2025-07-15,2.5119777484829524,2.3528363216172203
2025-08-20,2.53236289355218,2.268951951245768
2025-09-25,2.5526585914067867,2.450729440324804
2025-11-03,2.5730151752818355,2.262769832385285
2025-12-09,2.593342695183817,2.153687770624612
2026-01-14,2.6136259544198865,2.3661223598250443
2026-02-20,2.633962970576705,2.580948830689892
