ta,tl,tg,ra,rl,rg2,v2l,v2g,bg,bl,rv1,rv2
0.9972,1.3464,4.1703,0.78005,0.5,1.07021,0.67678,1.73875,0.43127,0.29188,10.08937,11.52079
0.7583,1.5017,3.4628,0.74423,0.82252,1.20426,1.73708,2.20251,0.21285,0.36974,8.66794,10.7968
0.7569,4.3311,1.4027,0.42842,1.04861,0.37757,0.75576,1.12796,0.40936,0.30938,7.44322,7.24176
0.8152,1.0782,0.1486,0.50092,1.02784,0.09998,0.76973,0.21431,0.42718,0.32881,6.08616,5.59173
0.9529,3.0775,2.3702,0.44799,0.73423,0.37435,0.63936,1.17428,0.48758,0.31174,10.16507,10.97796
0.8225,2.8836,0.3791,0.36884,1.03522,0.15591,0.68032,0.56642,0.46697,0.31769,7.71146,7.6538
0.6222,1.162,2.4513,0.76911,1.37096,2.10271,3.00518,2.63732,0.14347,0.43114,5.23122,6.47464
0.9281,3.3401,2.2988,0.4279,0.78126,0.40136,0.62866,1.18547,0.48986,0.30795,9.95354,10.50202
0.8745,2.06,0.4971,0.4131,1.03789,0.22729,0.6729,0.66026,0.48372,0.32549,7.40853,7.21706
0.8805,3.551,0.3111,0.45458,0.98371,0.1219,0.64495,0.34666,0.46873,0.30231,6.18365,5.5981
0.876,1.6753,3.7667,0.7494,0.56498,1.01223,0.83237,1.96971,0.35606,0.29638,8.48787,10.60352
0.6311,2.5089,3.9936,0.72827,2.0726,1.97016,8.0,2.84489,0.03015,0.65622,7.43854,9.00811
0.7121,1.0108,0.4901,0.71723,0.85962,0.57379,0.78439,0.76057,0.33764,0.26484,3.51206,3.36729
0.8479,2.8331,0.8158,0.46989,1.14034,0.35596,0.75787,0.8221,0.42186,0.31972,6.35462,6.10182
0.6415,2.5119,2.9545,0.6125,1.57878,0.93263,3.66857,2.14862,0.14995,0.55012,7.99214,10.18621
0.7251,1.7851,0.819,0.43271,0.94038,0.29386,0.77756,0.90116,0.43356,0.33712,8.46655,8.45032
0.8926,2.5918,2.3816,0.47569,0.80018,0.51249,0.69446,1.30689,0.46055,0.31984,9.47463,10.12336
0.7306,3.5318,0.9436,0.37286,0.87372,0.21195,0.64638,0.90172,0.46997,0.30378,9.07048,8.85883
0.8896,4.4787,2.0931,0.44895,0.91602,0.39162,0.69474,1.18214,0.4455,0.30951,8.59445,8.17317
0.8559,1.3441,3.6582,0.75242,0.79622,1.17759,1.2624,2.04521,0.26461,0.33405,7.35627,9.56646
0.8584,2.1874,1.4334,0.43118,0.89446,0.34718,0.73036,1.04949,0.45356,0.33126,9.3544,9.48474
0.9455,2.2898,4.4117,0.6521,0.56458,0.99458,0.754,1.96841,0.40129,0.30257,9.7845,11.25126
0.908,3.6072,1.6306,0.41571,0.94127,0.29116,0.67657,1.0306,0.4661,0.31535,9.17152,9.0406
0.8602,3.9786,0.3225,0.33783,0.98864,0.09462,0.67636,0.39555,0.46119,0.31193,7.89912,7.9354
0.8384,4.1771,1.2309,0.4044,1.07332,0.31279,0.70518,0.98884,0.43939,0.30985,7.49017,7.3436
0.776,1.3374,3.6092,0.77809,0.83002,1.3438,1.71263,2.29222,0.21342,0.3655,8.24653,10.52497
0.9339,3.6943,4.0505,0.55865,0.6264,0.53985,0.71248,1.59419,0.43641,0.31093,10.33392,11.43536
0.9563,3.6331,1.9475,0.48342,0.90751,0.40315,0.72368,1.10354,0.43883,0.31757,8.25893,7.84199
0.6961,3.8041,3.8167,0.5896,1.92842,0.64042,8.0,1.95414,0.06188,0.56137,9.80442,11.4239
0.9173,1.8731,3.703,0.64525,0.56049,0.85387,0.68189,1.73352,0.43462,0.29636,9.6565,11.19027
0.7385,4.4586,1.5484,0.39546,0.84284,0.28748,0.58906,1.14338,0.48976,0.2885,9.10892,8.8028
0.6695,1.1391,3.815,0.78811,1.59827,1.79078,8.0,2.71669,0.0195,0.50807,8.23532,10.1082
0.664,2.4346,2.4879,0.54421,1.20046,0.85343,1.55064,1.90443,0.26955,0.41797,7.77392,9.73055
0.6599,2.0665,0.6664,0.42896,1.05004,0.33195,0.7147,0.94751,0.44576,0.31859,7.25381,7.21328
0.8212,2.4768,1.252,0.41943,0.92487,0.28712,0.73618,0.97292,0.44451,0.32724,9.23054,9.26293
0.832,3.594,2.7788,0.47763,1.00486,0.69553,0.8829,1.47768,0.37074,0.32732,8.11612,9.09142
0.8831,3.2758,1.8335,0.43819,0.85843,0.35018,0.67258,1.09562,0.47199,0.31745,9.11733,9.21546
0.7532,1.4174,4.3643,0.80749,1.39754,1.44854,8.0,2.44093,0.03391,0.47153,9.74838,11.27438
0.9508,2.5712,0.0666,0.46816,0.9574,0.02715,0.67245,0.07266,0.45804,0.30801,6.135,5.12291
