ta,tl,tg,ra,rl,rg2,v2l,v2g,bg,bl,rv1,rv2
0.7241,3.3774,1.8427,0.41378,0.82645,0.41464,0.6407,1.24717,0.46331,0.29685,9.27374,9.87523
0.6517,1.9324,1.0972,0.56836,1.06158,0.64045,0.96284,1.1973,0.34614,0.33327,5.94099,6.59213
0.7385,4.1942,3.8651,0.582,1.64166,0.97909,2.93333,2.11225,0.18355,0.53841,7.90548,9.86234
0.8461,1.688,3.8853,0.74022,0.55722,1.15108,0.97924,2.08203,0.31157,0.3051,9.57651,11.26458
0.814,1.9068,1.0531,0.57514,0.93461,0.56891,0.80001,1.12901,0.3861,0.30889,5.94489,6.33929
0.9294,1.4655,2.3383,0.62561,0.80224,0.77235,0.83312,1.3987,0.38751,0.32284,7.29507,8.26423
0.647,3.7512,3.4854,0.62954,1.95586,1.22711,4.49997,2.35583,0.13565,0.61042,7.50672,9.28266
0.7549,3.5336,4.1416,0.62198,1.6261,0.87822,3.94319,2.14727,0.13443,0.53009,8.33592,10.43326
0.9913,4.3574,1.4488,0.38751,0.8336,0.2207,0.64239,0.95312,0.46534,0.29893,9.63904,10.0168
0.9741,3.5069,4.4218,0.56919,0.63006,0.64905,0.70516,1.65887,0.42854,0.30219,10.53771,11.68752
0.995,3.7962,1.5541,0.4437,0.98216,0.3214,0.7531,0.96739,0.42524,0.32025,7.97639,7.7568
0.6727,4.419,0.1248,0.39524,1.05796,0.03166,0.62616,0.18923,0.45745,0.28644,6.0169,4.96045
0.9756,1.2759,3.9463,0.76684,0.5,1.06137,0.66506,1.74354,0.4352,0.28943,9.32919,10.90286
0.9992,3.8156,1.9015,0.41444,0.82584,0.26389,0.63456,1.02139,0.48912,0.31037,9.48334,9.7652
0.8614,2.7187,1.4894,0.44563,0.92973,0.34423,0.72175,1.03337,0.4477,0.32313,8.84798,8.76314
0.8608,2.2832,3.7149,0.61454,0.60825,0.89195,0.80375,1.90609,0.38166,0.30676,9.7588,11.22854
0.638,2.2318,0.1507,0.38385,1.03786,0.07787,0.70087,0.27976,0.45739,0.32057,7.03782,6.02951
0.9093,4.0331,3.3819,0.46636,0.76964,0.48232,0.65831,1.40078,0.46503,0.30613,9.96027,11.0104
0.7795,3.9092,1.3507,0.37628,0.83934,0.23806,0.59146,1.04328,0.51146,0.30251,9.59646,9.15314
0.8715,1.4006,3.2168,0.70792,0.55783,0.89605,0.73592,1.74055,0.40632,0.29902,8.80557,10.43694
0.6877,4.0939,3.8032,0.60601,1.6866,0.69327,5.42347,2.10693,0.10294,0.55831,8.73268,10.7518
0.8236,2.3045,1.4779,0.51788,1.01639,0.5506,0.83551,1.17738,0.38819,0.32433,7.24644,7.18568
0.7277,2.2957,2.6891,0.58193,1.23417,1.10743,1.57206,1.91338,0.25757,0.40491,7.2214,8.84551
0.8175,3.9449,3.3753,0.48283,1.01063,0.60605,0.95019,1.72511,0.35723,0.33944,8.64363,10.34905
0.9913,1.0767,1.1736,0.47794,0.91411,0.39986,0.8712,1.02001,0.39743,0.34624,8.85173,9.13318
0.8196,3.3785,3.4752,0.53126,1.09298,0.86524,1.18141,1.78471,0.30582,0.3613,8.069,9.94435
0.9986,3.5687,1.9285,0.4379,0.90543,0.34754,0.65149,1.03956,0.47582,0.30999,8.89682,8.65784
0.9717,3.2498,3.7727,0.53009,0.65793,0.5657,0.6438,1.40141,0.47758,0.30746,10.14212,11.11225
0.924,2.2826,3.9572,0.64134,0.60451,0.82905,0.74823,1.79989,0.4114,0.30782,9.50696,10.79027
0.8993,4.3036,0.0106,0.37259,0.90549,0.0,0.59213,0.0,0.48461,0.28695,7.15291,6.26238
0.7643,3.7877,3.1886,0.47279,0.99083,0.60971,0.97286,1.87179,0.34512,0.33576,8.91203,10.8192
0.9308,1.6888,3.5422,0.64631,0.60262,0.82565,0.71301,1.63498,0.4248,0.30288,9.19719,10.52958
0.8139,3.8381,0.5111,0.37894,1.03556,0.19451,0.66665,0.63439,0.46641,0.31093,7.39128,7.29621
0.9299,4.4481,3.7456,0.5346,0.63052,0.48647,0.60816,1.52667,0.48623,0.2957,10.1093,10.92555
0.6186,4.1595,1.6211,0.41173,1.25014,0.45288,1.00875,1.29507,0.34998,0.35305,7.75337,8.03797
0.8478,3.8302,3.8545,0.51334,0.83975,0.60545,0.92272,1.80744,0.35147,0.32431,9.57289,11.16154
0.6161,4.1265,3.9838,0.60956,2.27085,0.95235,8.0,2.31946,0.0138,0.59594,9.21201,10.41527
0.7082,4.1504,2.7292,0.4513,1.1463,0.57985,1.12505,1.82225,0.32842,0.36949,8.34146,10.23384
0.6265,3.2244,3.0514,0.56294,1.64461,0.88065,3.3936,2.16644,0.1585,0.53788,8.1549,9.94267
0.7136,1.209,2.3523,0.66432,0.9143,1.12169,1.19978,1.97428,0.2885,0.34614,7.18285,9.15224
0.6614,2.3485,2.2682,0.50907,0.95574,0.64426,1.03957,1.75989,0.33764,0.351,8.43921,10.36614
0.845,1.0103,1.1267,0.5741,0.85648,0.5248,0.87125,1.055,0.37785,0.3292,7.15853,7.73128
0.9404,3.5659,2.3307,0.44354,0.75006,0.37407,0.6141,1.18166,0.49757,0.30556,9.60139,10.40371
0.8978,3.4529,3.513,0.51919,0.96167,0.82366,0.88767,1.55082,0.36933,0.32784,8.20644,9.61827
0.6052,2.2206,3.4808,0.704,1.92359,1.62146,8.0,2.6721,0.05949,0.61616,7.52733,9.3657
0.8818,3.2095,0.4403,0.3338,0.98444,0.15481,0.61969,0.64002,0.49901,0.30923,8.31677,8.65039
0.7635,3.1882,3.911,0.62375,1.20212,0.73668,2.54255,1.92525,0.16775,0.42651,9.71171,11.44109
0.9346,1.1489,3.9069,0.81443,0.5,1.13405,0.75201,2.01202,0.38205,0.28731,9.12406,11.10225
0.8649,4.4668,3.383,0.46443,0.73489,0.45382,0.63385,1.61722,0.46493,0.29469,10.09121,11.14856
0.6159,3.5386,2.2985,0.44508,1.28255,0.61109,1.41062,1.90446,0.28748,0.40553,8.07399,10.09576
0.8847,4.0216,0.7742,0.43263,1.06795,0.258,0.68004,0.71618,0.46247,0.31449,6.74279,6.1819
0.8616,2.6217,1.4268,0.41866,0.927,0.32228,0.70334,1.01391,0.45836,0.32238,9.25635,9.05143
0.9766,3.9854,1.5054,0.44068,0.88016,0.2667,0.6852,0.93645,0.46232,0.31678,8.78839,8.54243
0.835,1.649,0.9669,0.41242,0.96227,0.29151,0.78347,0.92676,0.43518,0.34095,9.21775,9.03322
0.7092,4.1835,0.9965,0.37074,0.8598,0.22609,0.5691,0.9376,0.50615,0.28805,8.76979,8.49394
