Date,Index_Price,Index_Return
10/04/2025,4643.63,6.563527382
11/04/2025,4619.65,-0.516406346
16/04/2025,4644.49,0.835836291
17/04/2025,4624.24,-0.029066701
21/04/2025,4621.22,-0.025301455
22/04/2025,4589.57,-0.507225365
23/04/2025,4592.07,0.410495972
24/04/2025,4604.71,0.356484113
25/04/2025,4632.51,0.844570016
28/04/2025,4653.39,0.587370562
29/04/2025,4671.26,0.433017649
30/04/2025,4643.66,-0.499651058
02/05/2025,4638.29,0.121240573
05/05/2025,4664.82,0.576721162
06/05/2025,4674.92,0.317911516
07/05/2025,4634.14,-0.746109024
08/05/2025,4655.15,0.545300746
09/05/2025,4657.8,0.233504828
14/05/2025,4734.03,1.947485938
15/05/2025,4795.63,1.545195109
16/05/2025,4820.67,0.777999971
19/05/2025,4835.04,0.353062956
20/05/2025,4811.19,-0.307339753
21/05/2025,4816.36,0.144247057
22/05/2025,4842.51,0.701567159
23/05/2025,4842.08,0.009086197
26/05/2025,4838.94,0.152826884
27/05/2025,4909.07,1.594770756
28/05/2025,4918.62,0.289871605
29/05/2025,4963.27,1.055783939
30/05/2025,4981.57,0.55467464
02/06/2025,5034.92,1.331708678
03/06/2025,5131.28,2.155545669
04/06/2025,5159.66,0.59985033
05/06/2025,5186.78,0.661477694
06/06/2025,5175.95,-0.224223892
09/06/2025,5208.95,0.691080864
11/06/2025,5286.16,1.49991841
12/06/2025,5275.01,-0.257843122
13/06/2025,5191.86,-1.537248271
16/06/2025,5155.48,-0.5945846
17/06/2025,5151.74,-0.025021918
18/06/2025,5094.31,-1.26772702
19/06/2025,5019.15,-1.083365559
20/06/2025,5099.28,1.518583824
23/06/2025,4991.18,-2.024011233
24/06/2025,5133.9,2.681129512
25/06/2025,5219.01,1.666958842
26/06/2025,5265.35,1.098484195
27/06/2025,5283.06,0.458848889
30/06/2025,5352.51,1.187569325
01/07/2025,5342.97,0.05829041
02/07/2025,5359.04,0.358414889
03/07/2025,5347.4,-0.10188392
04/07/2025,5366.03,0.296592737
07/07/2025,5339.99,-0.327989221
08/07/2025,5321.75,-0.136891642
09/07/2025,5358.64,0.694884202
11/07/2025,5486.5,2.681650568
14/07/2025,5628.71,3.046568851
15/07/2025,5700.54,1.486663907
16/07/2025,5668.12,-0.604328713
17/07/2025,5628.93,-0.662124302
18/07/2025,5655.43,0.381244748
21/07/2025,5646.99,-0.131201341
22/07/2025,5657.62,0.447849208
23/07/2025,5689.62,0.61792768
24/07/2025,5727.37,0.805326191
25/07/2025,5755.04,0.57583149
28/07/2025,5774.51,0.404862521
29/07/2025,5752.46,-0.202614594
30/07/2025,5751.68,0.173838671
31/07/2025,5762.17,0.244276455
01/08/2025,5894.75,2.341478991
04/08/2025,5857.61,-0.540650579
05/08/2025,5830.29,-0.210666125
06/08/2025,5827.85,0.193815402
07/08/2025,5825.39,-0.045299725
11/08/2025,5824.91,0.013046337
12/08/2025,5826.56,0.162920972
13/08/2025,5815.64,-0.073285094
14/08/2025,5780.58,-0.36969276
15/08/2025,5894.84,2.139577689
18/08/2025,5997.46,1.757469244
19/08/2025,6055.92,1.126476875
20/08/2025,6105,0.932310863
21/08/2025,6108.49,0.181654382
22/08/2025,6089.84,-0.21052666
25/08/2025,6042.51,-0.681627104
26/08/2025,6048.8,0.388911231
27/08/2025,6062.44,0.329652162
28/08/2025,6045.77,-0.014845508
29/08/2025,6076.79,0.680475771
01/09/2025,6071.36,-0.081786601
02/09/2025,6027.61,-0.479464239
03/09/2025,6004.7,-0.320359147
04/09/2025,6004.6,0.009825637
08/09/2025,5955.36,-0.63118276
09/09/2025,5895.13,-0.924209452
10/09/2025,5929.71,0.914653282
11/09/2025,5886.16,-0.679797157
12/09/2025,5873.12,-0.21627003
15/09/2025,5798.84,-1.254188574
16/09/2025,5868.11,1.409764712
17/09/2025,5903,0.653191573
18/09/2025,5971.3,1.200745384
19/09/2025,5996.16,0.53924606
22/09/2025,6057.13,1.063180435
23/09/2025,6073.14,0.479269885
24/09/2025,6081.06,0.231840531
25/09/2025,6102.58,0.472614972
26/09/2025,6111.57,0.179432306
29/09/2025,6119.21,0.223674113
30/09/2025,6126.53,0.137926301
01/10/2025,6138.79,0.263607621
02/10/2025,6148.21,0.30592348
03/10/2025,6187.51,0.672716124
07/10/2025,6191.54,-0.090343288
08/10/2025,6163.22,-0.435271354
09/10/2025,6162.38,0.129153267
10/10/2025,6226.03,1.167568375
13/10/2025,6207.37,-0.175392666
14/10/2025,6225.52,0.355545102
15/10/2025,6198.82,-0.247529524
16/10/2025,6226.64,0.5631717
17/10/2025,6263.03,0.679499698
21/10/2025,6284.07,0.466866676
22/10/2025,6276.86,-0.196210418
23/10/2025,6268.87,-0.116618819
24/10/2025,6266.31,0.108153463
27/10/2025,6255.63,-0.101016388
28/10/2025,6203.09,-0.566209958
29/10/2025,6210.63,0.165240227
30/10/2025,6202.71,-0.170514102
31/10/2025,6213.91,0.239250263
03/11/2025,6252.4,0.636797121
04/11/2025,6249.28,0.060296846
06/11/2025,6310.26,1.073723693
07/11/2025,6381.47,1.497719587
10/11/2025,6500.04,2.029469699
11/11/2025,6528.6,0.521535252
12/11/2025,6557.6,0.37174892
13/11/2025,6458.15,-1.457240454
14/11/2025,6435.93,-0.501846504
17/11/2025,6410,-0.375392523
18/11/2025,6376.54,-0.548673947
19/11/2025,6361.58,-0.238060139
20/11/2025,6382.18,0.39329852
21/11/2025,6364.61,-0.118611509
24/11/2025,6279.71,-1.206672522
25/11/2025,6298.75,0.406706679
26/11/2025,6311.3,0.31006152
27/11/2025,6268.45,-0.50972066
28/11/2025,6267.03,0.161443419
01/12/2025,6085.87,-2.59532825
02/12/2025,6137.79,1.056217106
03/12/2025,6030.66,-1.594059099
05/12/2025,5925.63,-1.454069704
08/12/2025,5926.64,0.115262006
09/12/2025,6004.11,1.691177463
10/12/2025,6084.06,1.38438503
11/12/2025,6095.15,0.208249097
12/12/2025,6097.66,0.100899896
15/12/2025,6052.3,-0.61515401
16/12/2025,6071.12,0.273449763
17/12/2025,6070.33,0.10376998
18/12/2025,6066.43,0.100653506
19/12/2025,6056.54,-0.063464014
22/12/2025,6014.36,-0.511017842
23/12/2025,6011.31,0.096269595
24/12/2025,6015.48,0.255019289
26/12/2025,6041.53,0.517830664
29/12/2025,6037.79,0.168665884
30/12/2025,6111.35,1.428502813
31/12/2025,6157.38,0.679064364
02/01/2026,6186.09,0.626402788
05/01/2026,6227.44,0.828633272
06/01/2026,6363.85,2.435511221
08/01/2026,6458.03,1.571532956
09/01/2026,6503.02,0.801482805
12/01/2026,6502.45,0.027064349
13/01/2026,6494.76,0.081815316
14/01/2026,6541.97,0.980020817
16/01/2026,6560.08,0.386427941
19/01/2026,6539.35,-0.209296228
20/01/2026,6544.8,0.214394397
21/01/2026,6619.32,1.077955018
22/01/2026,6617.85,0.045926168
23/01/2026,6649.5,0.510588786
26/01/2026,6663.12,0.190991804
27/01/2026,6672.37,0.33302717
28/01/2026,6670.21,0.007343717
29/01/2026,6655.66,-0.079307848
30/01/2026,6641.15,-0.132669037
02/02/2026,6597.2,-0.515272204
03/02/2026,6597.34,0.147789972
05/02/2026,6602.81,0.190682912
06/02/2026,6614.72,0.35696923
09/02/2026,6608.68,0.039457452
10/02/2026,6605.41,0.037526405
11/02/2026,6611.52,0.067520411
12/02/2026,6599.52,-0.067609264
13/02/2026,6618.73,0.366238757
16/02/2026,6710.33,1.468257506
17/02/2026,6708.71,0.080025871
18/02/2026,6750.5,0.7023705
19/02/2026,6743.19,-0.284275239
20/02/2026,6721.47,-0.223929624
23/02/2026,6728.71,0.323143598
24/02/2026,6681.12,-0.582875469
25/02/2026,6685.27,0.249060038
26/02/2026,6710.17,0.414493356
27/02/2026,6635.97,-0.859739768
03/03/2026,6313.65,-4.863343264
04/03/2026,6357.66,0.787024938
05/03/2026,6425.8,1.003513871
06/03/2026,6360.75,-0.866351271
09/03/2026,6128.86,-3.396140392
10/03/2026,6280.42,2.617452512
11/03/2026,6279.7,-0.032163454
12/03/2026,6172.28,-1.465675112
13/03/2026,6084.65,-1.215434167
16/03/2026,5884.93,-3.205278857
17/03/2026,5760.99,-1.942928803
18/03/2026,5765.57,0.741712796
19/03/2026,5651.41,-2.034144066
20/03/2026,5752.19,1.863251826
23/03/2026,5686.82,-0.868364918
24/03/2026,5909.23,4.238748545
25/03/2026,6134.23,3.861924481
26/03/2026,6035.52,-1.486739167
27/03/2026,5999.99,-0.437576215
30/03/2026,5908.96,-1.395668993
31/03/2026,5904.1,-0.060416723
02/04/2026,5875.69,-0.264561915
06/04/2026,5861.45,0.453563752
07/04/2026,5832.82,-0.322445811
08/04/2026,6090.5,4.579260118
09/04/2026,6076.18,0.17354897
10/04/2026,6152.73,1.398576079
